Fecha_Hora;Job_ID;Circuito_Nombre;Layout_Circuito;Layout_Centinela;Modo_Centinela;Shots_Totales;Shots_Validos;Supervivencia_(%)
2026-07-17 12:40:02;Simulacion;grover-noancilla_4_mqt.py;[1- 2- 3- 16];[23];dynamic_t1;10000;3981;39.81
2026-07-17 12:40:02;Simulacion;adder_n10_vq.py;[106- 105- 104- 103- 96- 83- 84- 85- 77- 65];[117];dynamic_t1;10000;3981;39.81
2026-07-17 12:40:02;Simulacion;pe_5_mqt.py;[15- 14- 13- 12- 11];[10];dynamic_t1;10000;3981;39.81
2026-07-17 12:40:02;Simulacion;grover_3_vq.py;[143- 144- 145];[142];dynamic_t1;10000;3981;39.81
2026-07-17 12:40:27;Simulacion;pe_3_mqt.py;[3- 2- 1];[4];dynamic_t1;10000;2208;22.08
2026-07-17 12:40:27;Simulacion;pe_5_vq.py;[106- 105- 104- 103- 96- 83];[117];dynamic_t1;10000;2208;22.08
2026-07-17 12:40:27;Simulacion;grover-v-chain_3_mqt.py;[40- 41- 36];[21];dynamic_t1;10000;2208;22.08
2026-07-17 12:40:27;Simulacion;grover-v-chain_4_mqt.py;[143- 142- 141- 140];[144];dynamic_t1;10000;2208;22.08
2026-07-17 12:40:27;Simulacion;adder_n4_vq.py;[115- 99- 95- 94];[93];dynamic_t1;10000;2208;22.08
2026-07-17 12:40:27;Simulacion;pe_2_vq.py;[135- 139- 155];[154];dynamic_t1;10000;2208;22.08
2026-07-17 12:40:27;Simulacion;dj_indep_5_mqt.py;[88- 89- 78- 69- 70];[71];dynamic_t1;10000;2208;22.08
2026-07-17 12:40:41;Simulacion;dj_indep_7_mqt.py;[20- 21- 22- 23- 16- 3- 2];[1];dynamic_t1;10000;5643;56.43
2026-07-17 12:40:41;Simulacion;pe_4_mqt.py;[105- 104- 103- 96];[83];dynamic_t1;10000;5643;56.43
2026-07-17 12:40:41;Simulacion;grover_7_vq.py;[95- 94- 93- 79- 73- 74- 75];[59];dynamic_t1;10000;5643;56.43
