Fecha_Hora;Job_ID;Circuito_Nombre;Layout_Circuito;Layout_Centinela;Modo_Centinela;Shots_Totales;Shots_Validos;Supervivencia_(%)
2026-07-17 12:33:22;Simulacion;grover_3_vq.py;[3- 2- 1];[4];dynamic_local_t1;10000;8621;86.21
2026-07-17 12:33:22;Simulacion;grover-noancilla_4_mqt.py;[20- 21- 36- 41];[40];dynamic_local_t1;10000;8644;86.44
2026-07-17 12:33:22;Simulacion;adder_n10_vq.py;[106- 105- 104- 103- 96- 83- 84- 85- 77- 65];[117];dynamic_local_t1;10000;8662;86.62
2026-07-17 12:33:22;Simulacion;grover-v-chain_3_mqt.py;[143- 144- 145];[142];dynamic_local_t1;10000;8694;86.94
2026-07-17 12:33:22;Simulacion;pe_3_mqt.py;[95- 94- 93];[92];dynamic_local_t1;10000;8665;86.65
2026-07-17 12:33:22;Simulacion;pe_5_mqt.py;[135- 134- 133- 132- 131];[130];dynamic_local_t1;10000;8693;86.93
2026-07-17 12:33:39;Simulacion;pe_5_vq.py;[20- 21- 22- 23- 16- 3];[36];dynamic_local_t1;10000;8609;86.09
2026-07-17 12:33:39;Simulacion;adder_n4_vq.py;[15- 14- 13- 12];[11];dynamic_local_t1;10000;8633;86.33
2026-07-17 12:33:39;Simulacion;pe_2_vq.py;[95- 94- 93];[92];dynamic_local_t1;10000;8607;86.07
2026-07-17 12:33:39;Simulacion;dj_indep_7_mqt.py;[121- 122- 123- 136- 143- 144- 145];[142];dynamic_local_t1;10000;8704;87.04
2026-07-17 12:33:39;Simulacion;dj_indep_5_mqt.py;[135- 134- 133- 132- 131];[130];dynamic_local_t1;10000;8613;86.13
2026-07-17 12:33:39;Simulacion;pe_4_mqt.py;[56- 63- 62- 61];[64];dynamic_local_t1;10000;8670;86.70
2026-07-17 12:33:54;Simulacion;grover_7_vq.py;[20- 21- 22- 23- 16- 3- 2];[1];dynamic_local_t1;10000;8610;86.10
2026-07-17 12:33:54;Simulacion;grover-v-chain_4_mqt.py;[105- 104- 103- 96];[83];dynamic_local_t1;10000;8664;86.64
