Fecha_Hora;Job_ID;Circuito_Nombre;Layout_Circuito;Layout_Centinela;Modo_Centinela;Shots_Totales;Shots_Validos;Supervivencia_(%)
2026-07-17 11:56:32;Simulacion;adder_n4_vq.py;[1- 2- 3- 16];[23];robust;10000;291;2.91
2026-07-17 11:56:32;Simulacion;grover-v-chain_3_mqt.py;[106- 105- 104];[117];robust;10000;291;2.91
2026-07-17 11:56:32;Simulacion;adder_n7_vq.py;[95- 94- 93- 79- 73- 74- 75];[59];robust;10000;291;2.91
2026-07-17 11:56:32;Simulacion;kickback_7_vq.py;[135- 134- 133- 132- 131- 130- 129];[138];robust;10000;291;2.91
2026-07-17 11:56:32;Simulacion;grover-noancilla_4_mqt.py;[15- 14- 13- 12];[11];robust;10000;291;2.91
2026-07-17 11:56:32;Simulacion;bv_4_vq.py;[143- 142- 141- 140];[144];robust;10000;291;2.91
2026-07-17 11:56:32;Simulacion;pe_2_vq.py;[56- 43- 44];[45];robust;10000;291;2.91
2026-07-17 11:56:32;Simulacion;bv_2_vq.py;[121- 120];[116];robust;10000;291;2.91
2026-07-17 11:56:36;Simulacion;adder_n10_vq.py;[56- 43- 42- 41- 36- 21- 22- 23- 16- 3];[20];robust;10000;28;0.28
2026-07-17 11:56:36;Simulacion;qft_3_mqt.py;[106- 105- 104];[117];robust;10000;28;0.28
2026-07-17 11:56:36;Simulacion;shor_mod21_mqt.py;[95- 94- 93- 79- 73- 74- 75- 59];[55];robust;10000;28;0.28
2026-07-17 11:56:36;Simulacion;grover_9_vq.py;[13- 14- 15- 19- 35- 34- 33- 32- 31];[30];robust;10000;28;0.28
2026-07-17 11:56:36;Simulacion;grover_3_vq.py;[143- 144- 145];[142];robust;10000;28;0.28
2026-07-17 11:56:36;Simulacion;qft_7_vq.py;[135- 134- 133- 132- 131- 130- 129];[138];robust;10000;28;0.28
2026-07-17 11:56:36;Simulacion;qft_2_mqt.py;[121- 120];[116];robust;10000;28;0.28
2026-07-17 11:56:39;Simulacion;pe_6_mqt.py;[20- 21- 22- 23- 16- 3];[36];robust;10000;72;0.72
2026-07-17 11:56:39;Simulacion;pe_7_mqt.py;[106- 105- 104- 103- 96- 83- 84];[117];robust;10000;72;0.72
2026-07-17 11:56:39;Simulacion;shor_mod15_mqt.py;[15- 14- 13- 12- 11];[10];robust;10000;72;0.72
2026-07-17 11:56:39;Simulacion;qft_4_mqt.py;[115- 99- 95- 94];[93];robust;10000;72;0.72
2026-07-17 11:56:39;Simulacion;bv_9_vq.py;[135- 134- 133- 132- 131- 138- 151- 152- 153];[130];robust;10000;72;0.72
2026-07-17 11:56:39;Simulacion;pe_4_mqt.py;[145- 144- 143- 142];[141];robust;10000;72;0.72
2026-07-17 11:56:39;Simulacion;bv_3_vq.py;[56- 63- 62];[61];robust;10000;72;0.72
2026-07-17 11:56:43;Simulacion;grover_7_vq.py;[20- 21- 22- 23- 16- 3- 2];[1];robust;10000;11;0.11
2026-07-17 11:56:43;Simulacion;qft_3_vq.py;[106- 105- 104];[117];robust;10000;11;0.11
2026-07-17 11:56:43;Simulacion;pe_5_mqt.py;[15- 14- 13- 12- 11];[10];robust;10000;11;0.11
2026-07-17 11:56:43;Simulacion;grover-noancilla_3_mqt.py;[95- 94- 93];[92];robust;10000;11;0.11
2026-07-17 11:56:43;Simulacion;pe_5_vq.py;[143- 144- 145- 146- 147- 148];[142];robust;10000;11;0.11
2026-07-17 11:56:43;Simulacion;pe_3_mqt.py;[56- 43- 44];[45];robust;10000;11;0.11
2026-07-17 11:56:43;Simulacion;dj_indep_5_mqt.py;[135- 134- 133- 132- 131];[130];robust;10000;11;0.11
2026-07-17 11:56:47;Simulacion;pe_6_vq.py;[106- 105- 104- 103- 96- 83- 84];[117];robust;10000;15;0.15
2026-07-17 11:56:47;Simulacion;grover-v-chain_4_mqt.py;[143- 142- 141- 140];[144];robust;10000;15;0.15
2026-07-17 11:56:47;Simulacion;dj_indep_7_mqt.py;[135- 134- 133- 132- 131- 130- 129];[138];robust;10000;15;0.15
2026-07-17 11:56:47;Simulacion;qft_6_mqt.py;[15- 14- 13- 12- 11- 10];[19];robust;10000;15;0.15
