Fecha_Hora;Job_ID;Circuito_Nombre;Layout_Circuito;Layout_Centinela;Modo_Centinela;Shots_Totales;Shots_Validos;Supervivencia_(%)
2026-08-24 12:17:41;Simulacion;qft_7_vq.py;[132- 131- 130- 129- 118- 109- 108];[133- 138- 128- 110];completo;10000;248;2.48
2026-08-24 12:17:41;Simulacion;shor_mod15_mqt.py;[2- 3- 4- 5- 6];[1- 16- 7];completo;10000;248;2.48
2026-08-24 12:17:41;Simulacion;shor_mod21_mqt.py;[120- 121- 122- 123- 136- 143- 142- 141];[116- 124- 144- 140];completo;10000;248;2.48
2026-08-24 12:17:41;Simulacion;pe_7_mqt.py;[15- 19- 35- 34- 33- 32- 31];[14- 39- 18- 30];completo;10000;248;2.48
2026-08-24 12:17:41;Simulacion;grover-noancilla_4_mqt.py;[75- 74- 73- 79];[59- 93];completo;10000;248;2.48
2026-08-24 12:17:41;Simulacion;dj_indep_5_mqt.py;[44- 43- 42- 41- 40];[45- 56- 36];completo;10000;248;2.48
2026-08-24 12:17:57;Simulacion;pe_3_mqt.py;[75- 59- 55];[74- 54];completo;10000;152;1.52
2026-08-24 12:17:57;Simulacion;kickback_7_vq.py;[132- 131- 130- 129- 118- 109- 108];[133- 138- 128- 110];completo;10000;152;1.52
2026-08-24 12:17:57;Simulacion;adder_n10_vq.py;[142- 143- 136- 123- 122- 121- 116- 101- 102- 103];[141- 144- 124- 120- 100- 96- 104];completo;10000;152;1.52
2026-08-24 12:17:57;Simulacion;grover_7_vq.py;[68- 67- 57- 47- 48- 49- 38];[69- 66- 50- 29];completo;10000;152;1.52
2026-08-24 12:17:57;Simulacion;bv_2_vq.py;[15- 14];[19- 13];completo;10000;152;1.52
2026-08-24 12:18:15;Simulacion;adder_n7_vq.py;[132- 131- 130- 129- 118- 109- 108];[133- 138- 128- 110];completo;10000;269;2.69
2026-08-24 12:18:15;Simulacion;bv_3_vq.py;[2- 1- 0];[3];completo;10000;269;2.69
2026-08-24 12:18:15;Simulacion;qft_3_vq.py;[142- 141- 140];[143];completo;10000;269;2.69
2026-08-24 12:18:15;Simulacion;qft_6_mqt.py;[15- 14- 13- 12- 11- 18];[19- 10- 31];completo;10000;269;2.69
2026-08-24 12:18:15;Simulacion;pe_6_vq.py;[75- 74- 73- 79- 93- 94- 95];[59- 92- 99];completo;10000;269;2.69
2026-08-24 12:18:15;Simulacion;qft_4_mqt.py;[68- 67- 57- 47];[69- 66- 48];completo;10000;269;2.69
2026-08-24 12:18:15;Simulacion;grover_3_vq.py;[101- 102- 103];[100- 116- 96- 104];completo;10000;269;2.69
2026-08-24 12:18:37;Simulacion;pe_5_mqt.py;[2- 3- 4- 5- 6];[1- 16- 7];completo;10000;241;2.41
2026-08-24 12:18:37;Simulacion;dj_indep_7_mqt.py;[132- 131- 130- 129- 118- 109- 108];[133- 138- 128- 110];completo;10000;241;2.41
2026-08-24 12:18:37;Simulacion;qft_2_mqt.py;[142- 141];[143- 140];completo;10000;241;2.41
2026-08-24 12:18:37;Simulacion;grover-v-chain_4_mqt.py;[15- 14- 13- 12];[19- 11];completo;10000;241;2.41
2026-08-24 12:18:37;Simulacion;adder_n13_vq.py;[68- 67- 66- 65- 77- 85- 84- 83- 82- 81- 76- 61- 60];[69- 57- 64- 86- 96- 80- 62];completo;10000;241;2.41
2026-08-24 12:18:51;Simulacion;pe_5_vq.py;[131- 130- 129- 118- 109- 108];[132- 138- 128- 110];completo;10000;1811;18.11
2026-08-24 12:18:51;Simulacion;grover_9_vq.py;[2- 3- 4- 5- 6- 7- 17- 27- 26];[1- 16- 8- 28- 25];completo;10000;1811;18.11
