Fecha_Hora;Job_ID;Circuito_Nombre;Layout_Circuito;Layout_Centinela;Modo_Centinela;Shots_Totales;Shots_Validos;Supervivencia_(%)
2026-07-17 12:18:18;Simulacion;grover_3_vq.py;[20- 21- 22];[36- 23];completo_local;10000;7497;74.97
2026-07-17 12:18:18;Simulacion;pe_6_mqt.py;[15- 14- 13- 12- 11- 10];[19- 9];completo_local;10000;1240;12.40
2026-07-17 12:18:18;Simulacion;grover-v-chain_3_mqt.py;[115- 99- 95];[114- 94];completo_local;10000;1122;11.22
2026-07-17 12:18:18;Simulacion;grover_9_vq.py;[105- 104- 103- 96- 83- 84- 85- 77- 65];[106- 117- 102- 82- 86- 64];completo_local;10000;28;0.28
2026-07-17 12:18:18;Simulacion;bv_9_vq.py;[135- 139- 155- 154- 153- 152- 151- 138- 131];[134- 130- 132];completo_local;10000;728;7.28
2026-07-17 12:18:18;Simulacion;pe_4_mqt.py;[143- 142- 141- 140];[136- 144];completo_local;10000;493;4.93
2026-07-17 12:18:22;Simulacion;grover-noancilla_4_mqt.py;[20- 21- 22- 23];[36- 16- 24];completo_local;10000;2241;22.41
2026-07-17 12:18:22;Simulacion;pe_7_mqt.py;[15- 19- 35- 34- 33- 32- 31];[14- 39- 30];completo_local;10000;4354;43.54
2026-07-17 12:18:22;Simulacion;adder_n4_vq.py;[105- 104- 103- 96];[106- 117- 102- 83];completo_local;10000;4294;42.94
2026-07-17 12:18:22;Simulacion;bv_2_vq.py;[115- 99];[114- 95];completo_local;10000;5204;52.04
2026-07-17 12:18:22;Simulacion;shor_mod15_mqt.py;[135- 139- 155- 154- 153];[134- 152];completo_local;10000;6480;64.80
2026-07-17 12:18:22;Simulacion;pe_2_vq.py;[143- 142- 141];[136- 144- 140];completo_local;10000;2951;29.51
2026-07-17 12:18:25;Simulacion;adder_n10_vq.py;[115- 99- 95- 94- 93- 79- 73- 74- 75- 59];[114- 92- 55];completo_local;10000;570;5.70
2026-07-17 12:18:25;Simulacion;qft_7_vq.py;[20- 21- 22- 23- 16- 3- 2];[36- 24- 4- 1];completo_local;10000;63;0.63
2026-07-17 12:18:25;Simulacion;bv_4_vq.py;[15- 14- 13- 12];[19- 11];completo_local;10000;2765;27.65
2026-07-17 12:18:25;Simulacion;kickback_7_vq.py;[121- 116- 101- 102- 103- 104- 105];[120- 122- 100- 96- 106- 117];completo_local;10000;284;2.84
2026-07-17 12:18:25;Simulacion;shor_mod21_mqt.py;[135- 139- 155- 154- 153- 152- 151- 138];[134- 131];completo_local;10000;6328;63.28
2026-07-17 12:18:25;Simulacion;qft_2_mqt.py;[145- 146];[144- 147];completo_local;10000;1092;10.92
2026-07-17 12:18:29;Simulacion;adder_n7_vq.py;[20- 21- 22- 23- 16- 3- 2];[36- 24- 4- 1];completo_local;10000;83;0.83
2026-07-17 12:18:29;Simulacion;qft_3_mqt.py;[15- 14- 13];[19- 12];completo_local;10000;1812;18.12
2026-07-17 12:18:29;Simulacion;qft_3_vq.py;[115- 99- 95];[114- 94];completo_local;10000;2930;29.30
2026-07-17 12:18:29;Simulacion;bv_3_vq.py;[105- 104- 103];[106- 117- 96- 102];completo_local;10000;1178;11.78
2026-07-17 12:18:29;Simulacion;pe_6_vq.py;[135- 139- 155- 154- 153- 152- 151];[134- 138];completo_local;10000;2915;29.15
2026-07-17 12:18:29;Simulacion;grover-v-chain_4_mqt.py;[75- 59- 55- 54];[74];completo_local;10000;6315;63.15
2026-07-17 12:18:33;Simulacion;grover_7_vq.py;[95- 94- 93- 79- 73- 74- 75];[99- 92- 59];completo_local;10000;1059;10.59
2026-07-17 12:18:33;Simulacion;grover-noancilla_3_mqt.py;[15- 14- 13];[19- 12];completo_local;10000;780;7.80
2026-07-17 12:18:33;Simulacion;pe_3_mqt.py;[143- 142- 141];[136- 144- 140];completo_local;10000;176;1.76
2026-07-17 12:18:33;Simulacion;pe_5_vq.py;[105- 104- 103- 96- 83- 84];[106- 117- 102- 82- 85];completo_local;10000;571;5.71
2026-07-17 12:18:37;Simulacion;dj_indep_7_mqt.py;[20- 21- 22- 23- 16- 3- 2];[36- 24- 4- 1];completo_local;10000;1910;19.10
2026-07-17 12:18:37;Simulacion;dj_indep_5_mqt.py;[15- 14- 13- 12- 11];[19- 10];completo_local;10000;5977;59.77
2026-07-17 12:18:37;Simulacion;qft_6_mqt.py;[95- 94- 93- 79- 73- 74];[99- 92- 75];completo_local;10000;1406;14.06
2026-07-17 12:18:37;Simulacion;qft_4_mqt.py;[105- 104- 103- 96];[106- 117- 102- 83];completo_local;10000;5849;58.49
2026-07-17 12:18:37;Simulacion;pe_5_mqt.py;[143- 144- 145- 146- 147];[136- 142- 137- 148];completo_local;10000;4458;44.58
